Schedule 5 tasks for 60 seconds (system time) then terminate.
Task 0 is run at each minute, 15 seconds after minute begining. Forever
Task 1 is run every 19/3 seconds with phase 0.1. Forever
Task 2 is run every 5 seconds, starting immediately. Forever
Task 3 is run every 19/3 seconds, starting immediately. Forever
Task 4 is run randomnly with uniform distribution, period min 8 seconds and max 16 seconds. Forever
Now is  Mon Jun 29 18:19:28 2015
id     runtime        sys-runtime
task 2 1435594768.880 0.005230904
task 3 1435594768.880 0.005270004
task 4 1435594769.125 0.005057096
task 1 1435594773.767 0.003353596
task 2 1435594773.880 0.000105858
task 3 1435594775.213 0.006676674
task 2 1435594778.880 0.000120878
task 1 1435594780.100 0.000119209
task 3 1435594781.547 0.003341436
task 4 1435594783.187 0.005274773
task 2 1435594783.880 0.000128984
task 1 1435594786.433 0.006687880
task 3 1435594787.880 0.000134945
task 2 1435594788.880 0.000151873
task 4 1435594791.886 0.003555059
task 1 1435594792.767 0.003352642
task 2 1435594793.880 0.000138998
task 3 1435594794.213 0.006690741
task 2 1435594798.880 0.000123978
task 1 1435594799.100 0.000119209
task 3 1435594800.547 0.003340483
task 4 1435594801.305 0.004789829
task 2 1435594803.880 0.000121832
task 1 1435594805.433 0.006679773
task 3 1435594806.880 0.000120878
task 2 1435594808.880 0.000147820
task 1 1435594811.767 0.003352642
task 3 1435594813.213 0.006674528
task 2 1435594813.880 0.000163794
task 0 1435594815.000 0.000119925
task 4 1435594816.165 0.004850388
task 1 1435594818.100 0.000118017
task 2 1435594818.880 0.000125885
task 3 1435594819.547 0.003355265
task 2 1435594823.880 0.000121832
task 1 1435594824.433 0.006678820
task 3 1435594825.880 0.000123978
task 2 1435594828.880 0.000145912
