# This data is from Harmon Maher's Geology 3300 Stereonet Lab:
# <http://maps.unomaha.edu/maher/geol3300/lab/stereopart2.html>
strike 	dip
270 	20
334 	15
270 	80
280 	78
270 	15
270 	32
270 	75
307 	46
296 	64
315 	60
280 	72
278 	32
275 	82
271 	81
276 	74
300 	12
282 	14
316 	74
326 	60
301 	4
330 	34
315 	60
304 	70
330 	32
278 	83
278 	78
296 	12
316 	38
292 	42
300 	62
320 	60
315 	32
310 	66
286 	70
298 	64
345 	20
275 	78
245 	10
312 	64
276 	78
274 	74
245 	1
285 	10
305 	68
320 	48
312 	58
315 	65
286 	70
300 	80
335 	32
285 	82
280 	80
320 	40
282 	14
306 	66
314 	88
311 	66
300 	71
286 	70
345 	35
314 	15
275 	82
264 	80
266 	4
292 	80
280 	68
245 	10
292 	42
284 	20
300 	14
282 	14
326 	60
330 	30
300 	72
335 	32
278 	83
276 	78
328 	38
292 	42
320 	60
291 	74
276 	78
264 	82
245 	10
330 	30
312 	64
286 	70
330 	32
240 	18
286 	70
330 	32
278 	32
296 	72
252 	22
264 	70
218 	30
216 	68
266 	40
266 	6
298 	60
270 	19
124 	67
207 	6
266 	6
266 	40
220 	38
266 	40
201 	38
252 	22
216 	32
215 	20
234 	14
248 	68
120 	40
90 	20
90 	28
90 	30
80 	44
74 	40
42 	25
28 	40
100 	72
120 	26
92 	22
10 	45
20 	40
30 	48
28 	40
80 	44
100 	72
84 	70
74 	40
112 	27
42 	72
60 	18
106 	78
114 	46
98 	24
141 	22
117 	46
119 	40
174 	26
167 	28
132 	24
122 	20
134 	68
134 	50
129 	71
134 	63
142 	64
114 	68
115 	80
141 	84
121 	87
132 	16
120 	18
137 	80
136 	28
112 	18
132 	21
128 	20
121 	40
130 	74
138 	68
134 	68
129 	70
109 	68
120 	80
145 	86
140 	40
115 	75
115 	72
138 	52
130 	74
105 	74
16 	18
140 	80
120 	15
84 	20
136 	49
125 	40
124 	50
138 	58
90 	30
60 	38
120 	24
120 	60
130 	74
124 	70
120 	80
120 	75
136 	80
120 	58
112 	68
134 	16
104 	204
134 	30
172 	18
120 	58
105 	65
140 	70
135 	65
137 	17
115 	75
170 	85
112 	32
100 	32
120 	40
128 	45
120 	40
134 	68
126 	78
130 	74
138 	74
115 	75
117 	84
140 	55
140 	83
32 	30
112 	56
84 	20
111 	20
132 	32
118 	22
162 	58
137 	80
124 	16
121 	40
121 	5
108 	68
130 	72
129 	71
115 	75
145 	86
142 	55
120 	15
140 	54
110 	50
123 	46
122 	24
126 	20
132 	68
105 	76
119 	72
148 	85
134 	16
136 	50
112 	10
141 	44
128 	58
146 	68
124 	22
120 	40
126 	45
118 	18
118 	45
132 	68
114 	74
118 	76
120 	80
38 	55
40 	34
