,16m,32m,01m,50m
RNA processing and modification,4.304704715299266,3.141713391302481,24.39613472477681,44.90468030672581
Chromatin structure and dynamics,27.98058064944523,21.991993739117365,12.198067362388405,66.4934689157286
Energy production and conversion,664.0007023349118,571.7918372170515,481.1459904053204,580.306637809995
"Cell cycle control, cell division, chromosome partitioning",65.6467469083138,87.18254660864383,112.49328789758195,49.22243802852636
Amino acid transport and metabolism,655.3912929043132,651.1201003474391,539.4256455811761,534.5384059589092
Nucleotide transport and metabolism,322.85285364744493,367.58046678239026,253.4487329740702,278.06359728395597
Carbohydrate transport and metabolism,306.7102109650727,336.16333286936543,241.25066561168177,270.29163338471494
Coenzyme transport and metabolism,298.10080153447416,290.6084886954795,344.25656778296167,338.51220538916374
Lipid transport and metabolism,218.46376430143775,230.9159342607323,231.7632798853797,222.7962984449088
"Translation, ribosomal structure and biogenesis",1110.6138165472107,1153.0088146080104,708.8432478365706,1172.7029972410317
Transcription,289.4913921038756,275.68535008679265,218.20987170494814,377.3720248853688
"Replication, recombination and repair",523.0216229088609,553.7269852170622,403.8915637768605,436.9570814462165
Cell wall/membrane/envelope biogenesis,167.88348389667138,160.2273829564265,189.74771452604185,169.25610269458187
Cell motility,19.371171218846698,18.064851999989262,29.817497996949434,26.77009787516346
"Posttranslational modification, protein turnover, chaperones",357.29049136983906,383.2890337389026,290.0429350612354,335.92155075608343
Inorganic ion transport and metabolism,173.26436479079547,189.28823182597446,173.48362470952398,165.80189651714144
"Secondary metabolites biosynthesis, transport and catabolism",61.34204219301454,94.25140173907442,107.07192462540932,97.58132451269262
General function prediction only,602.6586601418973,551.3707001735853,454.0391740444573,678.7515138670477
Function unknown,206.62582633436477,239.55564608681414,253.4487329740702,259.0654633080335
Signal transduction mechanisms,34.43763772239413,40.84227408693225,112.49328789758195,56.99440192776737
"Intracellular trafficking, secretion, and vesicular transport",72.1038039812627,81.6845481738645,117.91465116975458,63.90281428264826
Defense mechanisms,116.22702731308019,73.83026469560829,85.38647153671883,68.22057200444883
Cytoskeleton,0.0,0.0,0.0,3.4542061774404464
