,16m,32m,01m,50m
Energy production and conversion,0.2622406639004149,0.16308243727598565,0.0,0.9326424870466321
Amino acid transport and metabolism,0.0,0.0,0.0,0.0
Carbohydrate transport and metabolism,0.0,0.0,0.0,0.0
Nucleotide transport and metabolism,0.0,0.37333333333333335,0.0,0.0
Lipid transport and metabolism,0.0,0.0,0.0,0.0
Transcription,0.0,0.0,0.0,0.0
"Translation, ribosomal structure and biogenesis",0.0,,0.0,0.6533333333333334
Cell wall/membrane/envelope biogenesis,0.0,0.0,0.0,
"Replication, recombination and repair",0.9375,,0.0,0.0
"Posttranslational modification, protein turnover, chaperones",0.0,0.9506493506493506,0.0,0.06425992779783393
"Secondary metabolites biosynthesis, transport and catabolism",0.0,0.0,0.0,0.0
Inorganic ion transport and metabolism,0.0,0.0,0.0,0.0
Function unknown,0.0,0.09486607142857142,0.0,0.0
General function prediction only,0.0,0.17567567567567569,0.0,
"Intracellular trafficking, secretion, and vesicular transport",0.0,0.0,0.0,0.0
Signal transduction mechanisms,0.0,,0.0,0.0
Defense mechanisms,0.0,0.0,0.0,0.0
